Image burst: T+11.4s → T+151.5s  (30574 writes, 567KB approx)
T+     9.3s [W→cam] fa5f00020f03218c061a0401911e010402c3b200
T+     9.3s [W→cam] fa80
T+     9.4s [W←cam] f82a00020a01048ca913010341f900
T+     9.4s [W→cam] fae000020b010483aa13010103705f00
T+     9.4s [W←cam] f840
T+     9.4s [W→cam] fae100020f05218d020101038f1e010103a67a00
T+     9.5s [W←cam] f8ab00020a01048da91301037c3900
T+     9.5s [W→cam] fb2200020f05218e02010103881e010103e3b500
T+     9.5s [W←cam] f8ec00020a01048ea9130103383900
T+     9.5s [W→cam] fb6300020f05218f02010103891e0101038fb000
T+     9.6s [W←cam] f92d00020a01048fa913010305f900
T+     9.6s [W→cam] fba400020f052190020101038f1e010103361500
T+     9.7s [W←cam] f96e00020a010490a9130103903b00
T+     9.7s [W→cam] fbc0
T+    10.3s [W→cam] fbe5000241042b910901010101022d0101022d01010ada022a7a280a12090901
T+    10.7s [W←cam] f9af000211010491b313020901010101010103873800
T+    10.7s [W→cam] fc00
T+    10.7s [W←cam] f9b000021c042c840901010101020801010208010108da020582010208032359
T+    10.7s [W←cam] f9b1000242052b85ee18010101022e0101022e01010bda022b8a01280a120909
T+    10.7s [W→cam] fca6000211010484b41302090101010101010350bf00
T+    10.8s [W←cam] f9c0
T+    10.8s [W→cam] fca7000211010485b31303ee1801010101010360a700
T+    10.8s [W←cam] fa00
T+    10.9s [W→cam] fca800021c052c92ed1801010102080101020801010bda0205aa0102081815bf
T+    10.9s [W←cam] fa72000211010492b41303ed180101010101030ef200
T+    10.9s [W→cam] fcc0
T+    11.0s [W→cam] fce900023c042b930a0101010102280101022801010bda02251a230a1b0a1209
T+    11.1s [W←cam] fab3000211010493b313020a010101010101033eea00
T+    11.1s [W←cam] fab4000224042c860a01010101021001010210010107da020d220b0802100218
T+    11.1s [W→cam] fd40
T+    11.1s [W→cam] fd6a000211010486b413020a01010101010103e96d00
T+    11.2s [W←cam] fac0
T+    11.2s [W→cam] <REDACTED_ID>
T+    11.2s [W←cam] <REDACTED_ID>
T+    11.2s [W→cam] b0000001a4010000
T+    11.3s [W←cam] b040000000
T+    11.3s [W→cam] b040
T+    11.4s [W←cam] b080
T+    11.4s [W←cam] b1c0
T+    11.4s [W←cam] b300
T+    11.4s [W←cam] b440
